4/18/2025 5:09:00 AM  Counts:50000
1419.600000000  0.092936081
1419.605468750  0.093419603
1419.610937500  0.093067738
1419.616406250  0.093534218
1419.621875000  0.093961702
1419.627343750  0.094762544
1419.632812500  0.095330325
1419.638281250  0.095952606
1419.643750000  0.097050188
1419.649218750  0.098827925
1419.654687500  0.099858008
1419.660156250  0.099936067
1419.665625000  0.101392873
1419.671093750  0.103094930
1419.676562500  0.104246593
1419.682031250  0.105626186
1419.687500000  0.106268136
1419.692968750  0.108959867
1419.698437500  0.111847328
1419.703906250  0.112710293
1419.709375000  0.114407253
1419.714843750  0.116226321
1419.720312500  0.118095748
1419.725781250  0.119801287
1419.731250000  0.122913236
1419.736718750  0.123694780
1419.742187500  0.126745678
1419.747656250  0.128179583
1419.753125000  0.129302376
1419.758593750  0.132125849
1419.764062500  0.133489769
1419.769531250  0.135590359
1419.775000000  0.137011192
1419.780468750  0.138753869
1419.785937500  0.140257908
1419.791406250  0.143132020
1419.796875000  0.144671638
1419.802343750  0.147867950
1419.807812500  0.149829113
1419.813281250  0.151470980
1419.818750000  0.153083866
1419.824218750  0.156566435
1419.829687500  0.156244083
1419.835156250  0.160912849
1419.840625000  0.163297959
1419.846093750  0.164472150
1419.851562500  0.165385966
1419.857031250  0.167510913
1419.862500000  0.170680360
1419.867968750  0.174260826
1419.873437500  0.183356023
1419.878906250  0.206231567
1419.884375000  0.334762714
1419.889843750  0.376037576
1419.895312500  0.208850843
1419.900781250  0.190519271
1419.906250000  0.187502511
1419.911718750  0.187259193
1419.917187500  0.187329947
1419.922656250  0.193241689
1419.928125000  0.193006033
1419.933593750  0.192765981
1419.939062500  0.192333027
1419.944531250  0.195072916
1419.950000000  0.196985086
1419.955468750  0.198193108
1419.960937500  0.199390474
1419.966406250  0.202262027
1419.971875000  0.202241805
1419.977343750  0.203689353
1419.982812500  0.206946488
1419.988281250  0.207225565
1419.993750000  0.209484615
1419.999218750  0.211195881
1420.004687500  0.211611697
1420.010156250  0.212184187
1420.015625000  0.215719898
1420.021093750  0.217353544
1420.026562500  0.218939087
1420.032031250  0.219506153
1420.037500000  0.219987354
1420.042968750  0.220428205
1420.048437500  0.221762637
1420.053906250  0.220721794
1420.059375000  0.222893539
1420.064843750  0.222619682
1420.070312500  0.224280785
1420.075781250  0.226844042
1420.081250000  0.225115605
1420.086718750  0.226046055
1420.092187500  0.226218135
1420.097656250  0.228415777
1420.103125000  0.226501562
1420.108593750  0.228615518
1420.114062500  0.227354861
1420.119531250  0.228259519
1420.125000000  0.228351624
1420.130468750  0.228953468
1420.135937500  0.228985487
1420.141406250  0.230490211
1420.146875000  0.229584843
1420.152343750  0.230372934
1420.157812500  0.230706699
1420.163281250  0.231990693
1420.168750000  0.231441568
1420.174218750  0.231274561
1420.179687500  0.230585019
1420.185156250  0.231483428
1420.190625000  0.233815912
1420.196093750  0.233786899
1420.201562500  0.232864672
1420.207031250  0.232895327
1420.212500000  0.232019220
1420.217968750  0.231585579
1420.223437500  0.231910111
1420.228906250  0.232734874
1420.234375000  0.233064835
1420.239843750  0.231707202
1420.245312500  0.232482321
1420.250781250  0.231375483
1420.256250000  0.232208134
1420.261718750  0.231641554
1420.267187500  0.231834774
1420.272656250  0.231941081
1420.278125000  0.231181145
1420.283593750  0.231663628
1420.289062500  0.231672985
1420.294531250  0.230391023
1420.300000000  0.231269905
1420.305468750  0.230641651
1420.310937500  0.230820224
1420.316406250  0.230395385
1420.321875000  0.230700751
1420.327343750  0.230817617
1420.332812500  0.231011449
1420.338281250  0.230272873
1420.343750000  0.230163460
1420.349218750  0.230090626
1420.354687500  0.230335532
1420.360156250  0.229423766
1420.365625000  0.229114269
1420.371093750  0.229650423
1420.376562500  0.230387938
1420.382031250  0.229185200
1420.387500000  0.228827515
1420.392968750  0.229393160
1420.398437500  0.227773139
1420.403906250  0.229902485
1420.409375000  0.229000833
1420.414843750  0.228831710
1420.420312500  0.228455497
1420.425781250  0.228864177
1420.431250000  0.228716202
1420.436718750  0.228034561
1420.442187500  0.227473971
1420.447656250  0.227813603
1420.453125000  0.228431320
1420.458593750  0.228296975
1420.464062500  0.227971082
1420.469531250  0.228648392
1420.475000000  0.228167005
1420.480468750  0.228998742
1420.485937500  0.227513657
1420.491406250  0.228339631
1420.496875000  0.228672176
1420.502343750  0.228783385
1420.507812500  0.227984483
1420.513281250  0.228884063
1420.518750000  0.229760651
1420.524218750  0.230571319
1420.529687500  0.230504364
1420.535156250  0.230588471
1420.540625000  0.231008146
1420.546093750  0.233298234
1420.551562500  0.232456046
1420.557031250  0.233367244
1420.562500000  0.233456761
1420.567968750  0.233137327
1420.573437500  0.234597812
1420.578906250  0.233916178
1420.584375000  0.234876103
1420.589843750  0.234833472
1420.595312500  0.235356159
1420.600781250  0.235963103
1420.606250000  0.234685157
1420.611718750  0.234161872
1420.617187500  0.235440606
1420.622656250  0.234249059
1420.628125000  0.234673534
1420.633593750  0.234170950
1420.639062500  0.233527980
1420.644531250  0.234499799
1420.650000000  0.234405634
1420.655468750  0.233681186
1420.660937500  0.233622735
1420.666406250  0.233652865
1420.671875000  0.234400167
1420.677343750  0.234135700
1420.682812500  0.233966070
1420.688281250  0.234570505
1420.693750000  0.234802528
1420.699218750  0.234734418
1420.704687500  0.234147876
1420.710156250  0.233491629
1420.715625000  0.235787737
1420.721093750  0.235013139
1420.726562500  0.236096715
1420.732031250  0.236310001
1420.737500000  0.236931004
1420.742968750  0.237107276
1420.748437500  0.236825524
