4/18/2025 5:10:31 AM  Counts:50000
1419.600000000  0.095438670
1419.605468750  0.095343671
1419.610937500  0.095443528
1419.616406250  0.096259010
1419.621875000  0.096674500
1419.627343750  0.097278422
1419.632812500  0.097810291
1419.638281250  0.098138739
1419.643750000  0.098916742
1419.649218750  0.100597196
1419.654687500  0.101429163
1419.660156250  0.102617582
1419.665625000  0.104243807
1419.671093750  0.105874932
1419.676562500  0.106342240
1419.682031250  0.108157419
1419.687500000  0.110072121
1419.692968750  0.112134513
1419.698437500  0.113407764
1419.703906250  0.114830378
1419.709375000  0.117170881
1419.714843750  0.119048791
1419.720312500  0.121487351
1419.725781250  0.122874453
1419.731250000  0.125746747
1419.736718750  0.128312471
1419.742187500  0.130533642
1419.747656250  0.130365985
1419.753125000  0.132364831
1419.758593750  0.134808009
1419.764062500  0.136604896
1419.769531250  0.138242397
1419.775000000  0.140499092
1419.780468750  0.142973979
1419.785937500  0.145229174
1419.791406250  0.147033479
1419.796875000  0.148650410
1419.802343750  0.151507786
1419.807812500  0.153492692
1419.813281250  0.154797321
1419.818750000  0.156251569
1419.824218750  0.160388648
1419.829687500  0.160323421
1419.835156250  0.164540586
1419.840625000  0.166592910
1419.846093750  0.169105548
1419.851562500  0.170342425
1419.857031250  0.171737204
1419.862500000  0.174688939
1419.867968750  0.178503415
1419.873437500  0.187549104
1419.878906250  0.210266121
1419.884375000  0.341296210
1419.889843750  0.373734464
1419.895312500  0.211630852
1419.900781250  0.194446208
1419.906250000  0.192121948
1419.911718750  0.191038068
1419.917187500  0.192814798
1419.922656250  0.197883904
1419.928125000  0.197091779
1419.933593750  0.196553417
1419.939062500  0.197977275
1419.944531250  0.199469641
1419.950000000  0.201328538
1419.955468750  0.201877393
1419.960937500  0.204480635
1419.966406250  0.207442367
1419.971875000  0.206849760
1419.977343750  0.208657097
1419.982812500  0.211276991
1419.988281250  0.212769900
1419.993750000  0.214492167
1419.999218750  0.216765234
1420.004687500  0.217675827
1420.010156250  0.218158408
1420.015625000  0.219524629
1420.021093750  0.222920314
1420.026562500  0.223209994
1420.032031250  0.225352193
1420.037500000  0.224275901
1420.042968750  0.226940559
1420.048437500  0.226114725
1420.053906250  0.228497284
1420.059375000  0.227859876
1420.064843750  0.228985119
1420.070312500  0.228948362
1420.075781250  0.231357207
1420.081250000  0.231238155
1420.086718750  0.231427425
1420.092187500  0.232048855
1420.097656250  0.233033900
1420.103125000  0.232693537
1420.108593750  0.233969807
1420.114062500  0.234326154
1420.119531250  0.234224796
1420.125000000  0.234605284
1420.130468750  0.235896501
1420.135937500  0.236398181
1420.141406250  0.235279032
1420.146875000  0.235961796
1420.152343750  0.236485525
1420.157812500  0.237243612
1420.163281250  0.238483359
1420.168750000  0.236762793
1420.174218750  0.238203621
1420.179687500  0.237052836
1420.185156250  0.238564686
1420.190625000  0.238190601
1420.196093750  0.238812891
1420.201562500  0.237986603
1420.207031250  0.238954804
1420.212500000  0.239105811
1420.217968750  0.238127880
1420.223437500  0.239472565
1420.228906250  0.238502557
1420.234375000  0.238143182
1420.239843750  0.238371513
1420.245312500  0.237553729
1420.250781250  0.238016213
1420.256250000  0.238800405
1420.261718750  0.237802077
1420.267187500  0.237407003
1420.272656250  0.238592312
1420.278125000  0.238744248
1420.283593750  0.238019722
1420.289062500  0.237284989
1420.294531250  0.237457100
1420.300000000  0.238763919
1420.305468750  0.236545523
1420.310937500  0.236882682
1420.316406250  0.236787817
1420.321875000  0.237074575
1420.327343750  0.236184872
1420.332812500  0.236124083
1420.338281250  0.234934416
1420.343750000  0.235948053
1420.349218750  0.236793487
1420.354687500  0.235040576
1420.360156250  0.235530922
1420.365625000  0.235844891
1420.371093750  0.236281813
1420.376562500  0.235126792
1420.382031250  0.234660562
1420.387500000  0.235238649
1420.392968750  0.234466660
1420.398437500  0.235164371
1420.403906250  0.234291802
1420.409375000  0.234762199
1420.414843750  0.233256477
1420.420312500  0.235250708
1420.425781250  0.234871931
1420.431250000  0.234356817
1420.436718750  0.233800074
