4/18/2025 12:56:05 AM  Counts:50000
1419.200000000  0.177459521
1419.204687500  0.177564449
1419.209375000  0.177934704
1419.214062500  0.178735708
1419.218750000  0.178611570
1419.223437500  0.179643978
1419.228125000  0.179516947
1419.232812500  0.181820255
1419.237500000  0.182056565
1419.242187500  0.183749295
1419.246875000  0.185036891
1419.251562500  0.186342130
1419.256250000  0.188211815
1419.260937500  0.190433284
1419.265625000  0.191318245
1419.270312500  0.193897602
1419.275000000  0.196186053
1419.279687500  0.198685811
1419.284375000  0.199635247
1419.289062500  0.201794744
1419.293750000  0.205120993
1419.298437500  0.206812634
1419.303125000  0.208424013
1419.307812500  0.211483251
1419.312500000  0.214983070
1419.317187500  0.217884124
1419.321875000  0.220366201
1419.326562500  0.222262904
1419.331250000  0.224869742
1419.335937500  0.228071141
1419.340625000  0.231167274
1419.345312500  0.232933876
1419.350000000  0.237193377
1419.354687500  0.239502092
1419.359375000  0.241237466
1419.364062500  0.244959540
1419.368750000  0.247144498
1419.373437500  0.250546674
1419.378125000  0.253643559
1419.382812500  0.256208447
1419.387500000  0.258963566
1419.392187500  0.262025567
1419.396875000  0.263872815
1419.401562500  0.267164479
1419.406250000  0.271074528
1419.410937500  0.274335121
1419.415625000  0.275889348
1419.420312500  0.278491953
1419.425000000  0.280683902
1419.429687500  0.284322713
1419.434375000  0.286667738
1419.439062500  0.289844462
1419.443750000  0.290523932
1419.448437500  0.293637735
1419.453125000  0.295850844
1419.457812500  0.298646228
1419.462500000  0.302079190
1419.467187500  0.304117643
1419.471875000  0.304856842
1419.476562500  0.307152783
1419.481250000  0.310279047
1419.485937500  0.310449698
1419.490625000  0.312918431
1419.495312500  0.315070635
1419.500000000  0.318064066
1419.504687500  0.320020922
1419.509375000  0.321615256
1419.514062500  0.323403569
1419.518750000  0.324722071
1419.523437500  0.325633759
1419.528125000  0.327989274
1419.532812500  0.330313894
1419.537500000  0.331614004
1419.542187500  0.333426194
1419.546875000  0.334361727
1419.551562500  0.336235994
1419.556250000  0.337429074
1419.560937500  0.340007376
1419.565625000  0.340472060
1419.570312500  0.340196056
1419.575000000  0.341168340
1419.579687500  0.343948392
1419.584375000  0.345801699
1419.589062500  0.344672527
1419.593750000  0.345999185
1419.598437500  0.345821759
1419.603125000  0.349306112
1419.607812500  0.347450532
1419.612500000  0.349221084
1419.617187500  0.349363722
1419.621875000  0.350324564
1419.626562500  0.351535383
1419.631250000  0.352935888
1419.635937500  0.352900714
1419.640625000  0.351331301
1419.645312500  0.354148275
1419.650000000  0.352087571
1419.654687500  0.353730982
1419.659375000  0.356125496
1419.664062500  0.353504173
1419.668750000  0.354797364
1419.673437500  0.354727984
1419.678125000  0.355039744
