4/18/2025 1:01:09 AM  Counts:50000
1419.200000000  0.175926521
1419.204687500  0.176218392
1419.209375000  0.175774128
1419.214062500  0.177579639
1419.218750000  0.177732192
1419.223437500  0.178473728
1419.228125000  0.179593730
1419.232812500  0.180117612
1419.237500000  0.181428355
1419.242187500  0.182186989
1419.246875000  0.183549301
1419.251562500  0.184857083
1419.256250000  0.186954226
1419.260937500  0.188485267
1419.265625000  0.190754766
1419.270312500  0.191881381
1419.275000000  0.194501638
1419.279687500  0.196180577
1419.284375000  0.199295214
1419.289062500  0.200697509
1419.293750000  0.203913786
1419.298437500  0.207046605
1419.303125000  0.208344132
1419.307812500  0.210981724
1419.312500000  0.213188225
1419.317187500  0.215986808
1419.321875000  0.218356201
1419.326562500  0.220798829
1419.331250000  0.224179756
1419.335937500  0.226864663
1419.340625000  0.229875440
1419.345312500  0.232004723
1419.350000000  0.235923711
1419.354687500  0.237242109
1419.359375000  0.240324364
1419.364062500  0.243943663
1419.368750000  0.246939747
1419.373437500  0.249470216
1419.378125000  0.251845511
1419.382812500  0.256137079
1419.387500000  0.258704785
1419.392187500  0.260005170
1419.396875000  0.263502840
1419.401562500  0.265730526
1419.406250000  0.269295373
1419.410937500  0.271813077
1419.415625000  0.273757053
1419.420312500  0.277933562
1419.425000000  0.278453694
1419.429687500  0.283204222
1419.434375000  0.285463788
1419.439062500  0.286631103
1419.443750000  0.289328061
1419.448437500  0.291764415
1419.453125000  0.294406563
1419.457812500  0.297188086
1419.462500000  0.299572867
1419.467187500  0.300317525
1419.471875000  0.303603697
1419.476562500  0.305687613
1419.481250000  0.307848942
1419.485937500  0.309568947
1419.490625000  0.314718609
1419.495312500  0.314161318
1419.500000000  0.318073352
1419.504687500  0.320002801
1419.509375000  0.321079162
1419.514062500  0.321862062
1419.518750000  0.322687384
1419.523437500  0.325587980
1419.528125000  0.326544955
1419.532812500  0.329315184
1419.537500000  0.330478292
1419.542187500  0.332175315
1419.546875000  0.333477671
1419.551562500  0.334269721
1419.556250000  0.337422741
1419.560937500  0.337750861
1419.565625000  0.340339573
1419.570312500  0.341678989
1419.575000000  0.341932731
1419.579687500  0.341299348
1419.584375000  0.344072156
1419.589062500  0.345002645
1419.593750000  0.344970892
1419.598437500  0.344420971
1419.603125000  0.347042410
1419.607812500  0.348166216
1419.612500000  0.348570622
1419.617187500  0.349220685
1419.621875000  0.349320763
1419.626562500  0.350648267
1419.631250000  0.349694630
1419.635937500  0.351277578
1419.640625000  0.352052898
1419.645312500  0.353301894
1419.650000000  0.353757233
1419.654687500  0.353225707
1419.659375000  0.353814180
1419.664062500  0.354429370
1419.668750000  0.353355559
1419.673437500  0.355665691
1419.678125000  0.355449405
1419.682812500  0.356493994
1419.687500000  0.357051842
1419.692187500  0.357549892
1419.696875000  0.355092546
1419.701562500  0.356555593
1419.706250000  0.355416778
1419.710937500  0.356826771
1419.715625000  0.356783032
1419.720312500  0.357572600
1419.725000000  0.357011409
1419.729687500  0.356997701
1419.734375000  0.355846227
1419.739062500  0.357072612
1419.743750000  0.356802581
1419.748437500  0.355547847
1419.753125000  0.355572980
1419.757812500  0.353650224
1419.762500000  0.354470501
1419.767187500  0.355084125
1419.771875000  0.352197148
1419.776562500  0.353753933
1419.781250000  0.352847620
1419.785937500  0.351465909
1419.790625000  0.352866964
1419.795312500  0.351713822
1419.800000000  0.350296686
1419.804687500  0.349578186
1419.809375000  0.350534210
1419.814062500  0.350146856
1419.818750000  0.349894825
1419.823437500  0.348768750
1419.828125000  0.349646984
1419.832812500  0.347913129
1419.837500000  0.348781744
1419.842187500  0.348054677
1419.846875000  0.346513047
1419.851562500  0.349014023
1419.856250000  0.346200256
1419.860937500  0.345995851
1419.865625000  0.347702934
1419.870312500  0.347466865
1419.875000000  0.356181867
1419.879687500  0.369600301
1419.884375000  0.528612274
1419.889062500  0.466034947
1419.893750000  0.362053795
1419.898437500  0.348043156
1419.903125000  0.344467443
1419.907812500  0.344147533
1419.912500000  0.344004457
1419.917187500  0.341952892
1419.921875000  0.344282566
1419.926562500  0.342442883
1419.931250000  0.340850297
1419.935937500  0.341128251
1419.940625000  0.340221915
1419.945312500  0.341229864
1419.950000000  0.339694116
1419.954687500  0.340190759
1419.959375000  0.339229866
1419.964062500  0.341832176
1419.968750000  0.339626442
1419.973437500  0.338555302
1419.978125000  0.340770292
1419.982812500  0.340138616
1419.987500000  0.339024788
1419.992187500  0.340139166
1419.996875000  0.340080904
1420.001562500  0.339655545
1420.006250000  0.339886481
1420.010937500  0.340326767
1420.015625000  0.340140184
1420.020312500  0.341622834
1420.025000000  0.341276747
1420.029687500  0.341106296
1420.034375000  0.341586391
1420.039062500  0.341266889
1420.043750000  0.341438951
1420.048437500  0.342011499
1420.053125000  0.342400361
1420.057812500  0.342906221
1420.062500000  0.342448592
1420.067187500  0.341522584
1420.071875000  0.343571923
1420.076562500  0.343219313
1420.081250000  0.343512390
1420.085937500  0.344015142
1420.090625000  0.343219012
1420.095312500  0.344090588
