4/20/2025 1:54:56 AM  Counts:100000
1419.008000000  0.103189905
1419.010734375  0.103297786
1419.013468750  0.103397564
1419.016203125  0.103557209
1419.018937500  0.103731782
1419.021671875  0.103750641
1419.024406250  0.104008048
1419.027140625  0.104250014
1419.029875000  0.104694866
1419.032609375  0.104541474
1419.035343750  0.104927646
1419.038078125  0.105365735
1419.040812500  0.105950445
1419.043546875  0.105947843
1419.046281250  0.106539075
1419.049015625  0.106764549
1419.051750000  0.107391390
1419.054484375  0.107937743
1419.057218750  0.108509646
1419.059953125  0.108655290
1419.062687500  0.109490946
1419.065421875  0.110010979
1419.068156250  0.110659937
1419.070890625  0.111228405
1419.073625000  0.111921575
1419.076359375  0.112470925
1419.079093750  0.113470828
1419.081828125  0.114024278
1419.084562500  0.114868879
1419.087296875  0.115432266
1419.090031250  0.116264481
1419.092765625  0.117011486
1419.095500000  0.117824047
1419.098234375  0.118323107
1419.100968750  0.119788428
1419.103703125  0.120103340
1419.106437500  0.121269459
1419.109171875  0.122103774
1419.111906250  0.122714843
1419.114640625  0.124305690
1419.117375000  0.124770217
1419.120109375  0.125711157
1419.122843750  0.126973520
1419.125578125  0.128067078
1419.128312500  0.128660648
1419.131046875  0.129814997
1419.133781250  0.130542865
1419.136515625  0.131596954
1419.139250000  0.132683265
1419.141984375  0.133625893
1419.144718750  0.134895307
1419.147453125  0.136203849
1419.150187500  0.137071678
1419.152921875  0.138322772
1419.155656250  0.139177723
1419.158390625  0.140437063
1419.161125000  0.141462435
1419.163859375  0.142172964
1419.166593750  0.143890003
1419.169328125  0.144141153
1419.172062500  0.145547775
1419.174796875  0.146499708
1419.177531250  0.147782381
1419.180265625  0.148874160
1419.183000000  0.149894420
1419.185734375  0.151215498
1419.188468750  0.152236186
1419.191203125  0.153335593
1419.193937500  0.155050293
1419.196671875  0.155805140
1419.199406250  0.156935684
1419.202140625  0.158217217
1419.204875000  0.159172643
1419.207609375  0.160602076
1419.210343750  0.161284663
1419.213078125  0.162700949
1419.215812500  0.163982972
1419.218546875  0.165385757
1419.221281250  0.166089901
1419.224015625  0.167265522
1419.226750000  0.168680003
1419.229484375  0.169812709
1419.232218750  0.170858802
1419.234953125  0.171373710
1419.237687500  0.172934249
1419.240421875  0.173955345
1419.243156250  0.175771870
1419.245890625  0.176090940
1419.248625000  0.177727536
1419.251359375  0.177977665
1419.254093750  0.179595568
1419.256828125  0.180686415
1419.259562500  0.181717761
1419.262296875  0.183590893
1419.265031250  0.184055538
1419.267765625  0.185287406
1419.270500000  0.186565231
1419.273234375  0.187025504
1419.275968750  0.188237722
1419.278703125  0.189549709
1419.281437500  0.189984917
1419.284171875  0.191752775
1419.286906250  0.192849353
1419.289640625  0.193439359
1419.292375000  0.194719705
1419.295109375  0.195680649
1419.297843750  0.197115693
1419.300578125  0.197299001
1419.303312500  0.198289130
1419.306046875  0.199596124
1419.308781250  0.201191157
1419.311515625  0.202429595
1419.314250000  0.202548397
1419.316984375  0.204098176
1419.319718750  0.204411713
1419.322453125  0.205122887
1419.325187500  0.207013362
1419.327921875  0.207850478
1419.330656250  0.208422690
1419.333390625  0.209600075
1419.336125000  0.210041591
1419.338859375  0.212017181
1419.341593750  0.212469683
1419.344328125  0.213053708
1419.347062500  0.214306287
1419.349796875  0.214857982
1419.352531250  0.216314340
1419.355265625  0.216877486
1419.358000000  0.218012453
1419.360734375  0.218329856
1419.363468750  0.218834140
1419.366203125  0.219496550
1419.368937500  0.220620551
1419.371671875  0.221899539
1419.374406250  0.223253600
1419.377140625  0.223761237
1419.379875000  0.224029199
1419.382609375  0.225391665
1419.385343750  0.226467622
1419.388078125  0.226600885
1419.390812500  0.227421652
1419.393546875  0.227795783
1419.396281250  0.229390669
1419.399015625  0.229884005
1419.401750000  0.231023642
1419.404484375  0.230988845
1419.407218750  0.231215631
1419.409953125  0.231958163
1419.412687500  0.233830889
1419.415421875  0.233735037
1419.418156250  0.234296864
1419.420890625  0.235518238
1419.423625000  0.236057880
1419.426359375  0.236403236
1419.429093750  0.237208009
1419.431828125  0.237719961
1419.434562500  0.238323279
1419.437296875  0.238856294
1419.440031250  0.239537341
1419.442765625  0.239831504
1419.445500000  0.240991784
1419.448234375  0.241121699
1419.450968750  0.241517125
1419.453703125  0.242210747
1419.456437500  0.243914786
1419.459171875  0.243915795
1419.461906250  0.244660318
1419.464640625  0.244895966
1419.467375000  0.245092992
1419.470109375  0.245518021
1419.472843750  0.245749524
1419.475578125  0.246321192
1419.478312500  0.246702970
1419.481046875  0.247927543
1419.483781250  0.247813425
1419.486515625  0.248314327
1419.489250000  0.249209747
1419.491984375  0.249703904
1419.494718750  0.249080771
1419.497453125  0.250306686
1419.500187500  0.250148968
1419.502921875  0.250676643
1419.505656250  0.250894110
1419.508390625  0.252246586
1419.511125000  0.251128378
1419.513859375  0.251926481
1419.516593750  0.252149182
1419.519328125  0.252645605
1419.522062500  0.253027371
1419.524796875  0.253598989
1419.527531250  0.253992977
1419.530265625  0.254791101
1419.533000000  0.254566419
1419.535734375  0.254860783
1419.538468750  0.255252864
1419.541203125  0.255550905
1419.543937500  0.255673177
1419.546671875  0.255976647
1419.549406250  0.256286009
1419.552140625  0.255824604
1419.554875000  0.256715292
1419.557609375  0.257070181
1419.560343750  0.256620045
1419.563078125  0.257483874
1419.565812500  0.257449886
1419.568546875  0.257694746
1419.571281250  0.258506198
1419.574015625  0.257713235
1419.576750000  0.258104447
1419.579484375  0.257558208
1419.582218750  0.258258611
1419.584953125  0.258934636
1419.587687500  0.259544115
1419.590421875  0.258243381
1419.593156250  0.258855595
1419.595890625  0.259675023
1419.598625000  0.259450153
1419.601359375  0.259488619
1419.604093750  0.258957536
1419.606828125  0.259891879
1419.609562500  0.260017691
1419.612296875  0.259984419
1419.615031250  0.259168219
1419.617765625  0.260101840
1419.620500000  0.260187799
1419.623234375  0.260177825
1419.625968750  0.260620969
1419.628703125  0.260348139
1419.631437500  0.260009724
1419.634171875  0.260227711
1419.636906250  0.260687679
1419.639640625  0.260478697
1419.642375000  0.259893773
1419.645109375  0.260403713
1419.647843750  0.261400819
1419.650578125  0.260343166
1419.653312500  0.260643835
1419.656046875  0.261130160
1419.658781250  0.260820072
1419.661515625  0.260634799
1419.664250000  0.261091195
1419.666984375  0.260216218
1419.669718750  0.260557340
1419.672453125  0.259583562
1419.675187500  0.260644235
1419.677921875  0.260288037
1419.680656250  0.261009892
1419.683390625  0.261037460
1419.686125000  0.260966145
1419.688859375  0.261041374
1419.691593750  0.260439215
1419.694328125  0.260848440
1419.697062500  0.260395110
1419.699796875  0.260897437
1419.702531250  0.260368940
1419.705265625  0.260956854
1419.708000000  0.260882633
1419.710734375  0.260304606
1419.713468750  0.259839857
1419.716203125  0.260559821
1419.718937500  0.260121380
1419.721671875  0.260485978
1419.724406250  0.260040972
1419.727140625  0.259942515
1419.729875000  0.260548397
1419.732609375  0.260898121
1419.735343750  0.259832844
1419.738078125  0.259778330
1419.740812500  0.259966442
1419.743546875  0.260151446
1419.746281250  0.259597805
1419.749015625  0.259096609
1419.751750000  0.259442581
1419.754484375  0.260069880
1419.757218750  0.259706633
1419.759953125  0.258932762
1419.762687500  0.258536387
1419.765421875  0.258928396
1419.768156250  0.258575892
1419.770890625  0.259939909
1419.773625000  0.258797635
1419.776359375  0.258847782
1419.779093750  0.259088837
1419.781828125  0.258273978
1419.784562500  0.258881209
