4/20/2025 1:38:10 AM  Counts:100000
1419.006000000  0.098551476
1419.008734375  0.098766691
1419.011468750  0.098618308
1419.014203125  0.098975473
1419.016937500  0.098959688
1419.019671875  0.099185910
1419.022406250  0.099446004
1419.025140625  0.099314088
1419.027875000  0.099908172
1419.030609375  0.100082846
1419.033343750  0.100725232
1419.036078125  0.100465479
1419.038812500  0.100572413
1419.041546875  0.101328132
1419.044281250  0.101920572
1419.047015625  0.102105826
1419.049750000  0.102185867
1419.052484375  0.102806095
1419.055218750  0.103532216
1419.057953125  0.104013862
1419.060687500  0.104434732
1419.063421875  0.105304850
1419.066156250  0.105709654
1419.068890625  0.106133365
1419.071625000  0.107012485
1419.074359375  0.107696057
1419.077093750  0.107731350
1419.079828125  0.109030600
1419.082562500  0.109647130
1419.085296875  0.110245309
1419.088031250  0.111059300
1419.090765625  0.111909922
1419.093500000  0.112378943
1419.096234375  0.113283101
1419.098968750  0.114088817
1419.101703125  0.114820083
1419.104437500  0.115467672
1419.107171875  0.116494412
1419.109906250  0.117106280
1419.112640625  0.118062320
1419.115375000  0.118899598
1419.118109375  0.120023456
1419.120843750  0.121135129
1419.123578125  0.122140672
1419.126312500  0.122801955
1419.129046875  0.123885857
1419.131781250  0.125139432
1419.134515625  0.125516522
1419.137250000  0.127174282
1419.139984375  0.127809923
1419.142718750  0.128618457
1419.145453125  0.129815749
1419.148187500  0.130895360
1419.150921875  0.132169853
1419.153656250  0.132960240
1419.156390625  0.134090203
1419.159125000  0.134795309
1419.161859375  0.136125247
1419.164593750  0.137314937
1419.167328125  0.138116692
1419.170062500  0.139612324
1419.172796875  0.139862669
1419.175531250  0.141165855
1419.178265625  0.142689784
1419.181000000  0.143427004
1419.183734375  0.144349059
1419.186468750  0.145529861
1419.189203125  0.146330717
1419.191937500  0.147564143
1419.194671875  0.148673492
1419.197406250  0.149514679
1419.200140625  0.150894075
1419.202875000  0.152340126
1419.205609375  0.152752190
1419.208343750  0.154405451
1419.211078125  0.154664789
1419.213812500  0.156796117
1419.216546875  0.157696976
1419.219281250  0.158546839
1419.222015625  0.159715321
1419.224750000  0.160343876
1419.227484375  0.161772064
1419.230218750  0.163176694
1419.232953125  0.164360141
1419.235687500  0.165389185
1419.238421875  0.166115730
1419.241156250  0.166909789
1419.243890625  0.168319766
1419.246625000  0.169036549
1419.249359375  0.170758157
1419.252093750  0.171506017
1419.254828125  0.172933482
1419.257562500  0.173475142
1419.260296875  0.174444920
1419.263031250  0.176165088
1419.265765625  0.177087308
1419.268500000  0.177882999
1419.271234375  0.179181075
1419.273968750  0.179706318
1419.276703125  0.180635858
1419.279437500  0.181531501
1419.282171875  0.182629839
1419.284906250  0.183925329
1419.287640625  0.184776126
1419.290375000  0.186279527
1419.293109375  0.187248234
1419.295843750  0.187819105
1419.298578125  0.189139759
1419.301312500  0.189715295
1419.304046875  0.190889746
1419.306781250  0.191903412
1419.309515625  0.192764588
1419.312250000  0.194128202
1419.314984375  0.194333063
1419.317718750  0.195786744
1419.320453125  0.196386207
1419.323187500  0.197605070
1419.325921875  0.197605657
1419.328656250  0.199634345
1419.331390625  0.200407922
1419.334125000  0.200814698
1419.336859375  0.201301773
1419.339593750  0.203267030
1419.342328125  0.204021047
1419.345062500  0.204457453
1419.347796875  0.204921940
1419.350531250  0.206518368
1419.353265625  0.207027148
1419.356000000  0.208114189
1419.358734375  0.209294204
1419.361468750  0.209450443
1419.364203125  0.210497639
1419.366937500  0.211049607
1419.369671875  0.211888765
1419.372406250  0.213116374
1419.375140625  0.213530069
1419.377875000  0.214291418
1419.380609375  0.215700704
1419.383343750  0.215546419
1419.386078125  0.216180052
1419.388812500  0.217590766
1419.391546875  0.217885461
1419.394281250  0.218660410
1419.397015625  0.219720033
1419.399750000  0.219676936
1419.402484375  0.220970967
1419.405218750  0.221225252
1419.407953125  0.221830495
1419.410687500  0.222904285
1419.413421875  0.222850424
1419.416156250  0.224218662
1419.418890625  0.223954744
1419.421625000  0.225217908
1419.424359375  0.225427137
1419.427093750  0.226346173
1419.429828125  0.226758289
1419.432562500  0.227422520
1419.435296875  0.228424129
1419.438031250  0.229559815
1419.440765625  0.229451821
1419.443500000  0.229499356
1419.446234375  0.230087451
1419.448968750  0.230438889
1419.451703125  0.231474337
1419.454437500  0.232432460
1419.457171875  0.232803247
1419.459906250  0.232992832
1419.462640625  0.234391788
1419.465375000  0.234363663
1419.468109375  0.235041613
1419.470843750  0.234943344
1419.473578125  0.235727266
1419.476312500  0.235627323
1419.479046875  0.236057320
1419.481781250  0.237039715
1419.484515625  0.237144542
1419.487250000  0.237529979
1419.489984375  0.238070922
1419.492718750  0.238545726
1419.495453125  0.239591575
1419.498187500  0.239383932
1419.500921875  0.239231923
1419.503656250  0.240124615
1419.506390625  0.240519018
1419.509125000  0.240542055
1419.511859375  0.240622359
1419.514593750  0.241024656
1419.517328125  0.241651557
1419.520062500  0.241904857
1419.522796875  0.241788780
1419.525531250  0.242706268
1419.528265625  0.242763543
1419.531000000  0.244071917
1419.533734375  0.242835188
1419.536468750  0.244014843
1419.539203125  0.243907088
1419.541937500  0.243437544
1419.544671875  0.245001720
1419.547406250  0.244518289
1419.550140625  0.245251861
1419.552875000  0.245428036
1419.555609375  0.245275037
1419.558343750  0.245663207
1419.561078125  0.246186164
1419.563812500  0.246217358
1419.566546875  0.246053938
1419.569281250  0.246048052
1419.572015625  0.246017139
1419.574750000  0.246270464
1419.577484375  0.246678331
1419.580218750  0.246985670
1419.582953125  0.247060448
1419.585687500  0.248098965
1419.588421875  0.246833664
1419.591156250  0.247516274
1419.593890625  0.248384273
1419.596625000  0.247696317
1419.599359375  0.248142119
1419.602093750  0.248167954
1419.604828125  0.248868094
1419.607562500  0.247179262
1419.610296875  0.248005402
1419.613031250  0.248233517
1419.615765625  0.248707052
1419.618500000  0.248991352
1419.621234375  0.249018424
1419.623968750  0.248993179
1419.626703125  0.248315799
1419.629437500  0.249098004
1419.632171875  0.248578162
1419.634906250  0.248306742
1419.637640625  0.248894836
1419.640375000  0.249219297
1419.643109375  0.249471592
1419.645843750  0.249435781
1419.648578125  0.249273813
1419.651312500  0.249241520
1419.654046875  0.248467298
1419.656781250  0.248938192
1419.659515625  0.249619794
1419.662250000  0.248631740
1419.664984375  0.248851126
1419.667718750  0.249610303
1419.670453125  0.248775880
1419.673187500  0.249283899
1419.675921875  0.248977578
1419.678656250  0.250302268
1419.681390625  0.249630394
1419.684125000  0.249001585
1419.686859375  0.249475990
1419.689593750  0.248457647
1419.692328125  0.249499884
1419.695062500  0.249102768
1419.697796875  0.248533354
1419.700531250  0.249613271
1419.703265625  0.248427988
1419.706000000  0.248622481
1419.708734375  0.248662768
1419.711468750  0.247871652
1419.714203125  0.249595389
1419.716937500  0.248794294
1419.719671875  0.248338507
1419.722406250  0.248954393
1419.725140625  0.247643130
1419.727875000  0.248190848
1419.730609375  0.248543110
1419.733343750  0.248134831
1419.736078125  0.248440382
1419.738812500  0.248141475
1419.741546875  0.247099898
1419.744281250  0.247427182
1419.747015625  0.248139642
1419.749750000  0.248407836
1419.752484375  0.248049746
1419.755218750  0.248669721
1419.757953125  0.248505041
1419.760687500  0.247878741
1419.763421875  0.248169953
1419.766156250  0.247673194
1419.768890625  0.247886651
1419.771625000  0.247486731
1419.774359375  0.247326099
1419.777093750  0.247202965
1419.779828125  0.248507500
1419.782562500  0.246785692
1419.785296875  0.247615089
1419.788031250  0.246961777
1419.790765625  0.246879273
1419.793500000  0.246294310
1419.796234375  0.247395987
1419.798968750  0.246666800
1419.801703125  0.246647735
1419.804437500  0.246147468
1419.807171875  0.246769664
1419.809906250  0.246882833
1419.812640625  0.246483816
1419.815375000  0.246602338
1419.818109375  0.246233499
1419.820843750  0.246504185
1419.823578125  0.245477759
1419.826312500  0.245817823
1419.829046875  0.246692328
1419.831781250  0.245486244
1419.834515625  0.246719967
1419.837250000  0.246561338
1419.839984375  0.244788924
1419.842718750  0.246079781
1419.845453125  0.245819535
1419.848187500  0.245908233
