4/20/2025 2:51:10 AM  Counts:100000
1419.008000000  0.097025222
1419.010734375  0.096921901
1419.013468750  0.097172995
1419.016203125  0.097492208
1419.018937500  0.097767231
1419.021671875  0.097710744
1419.024406250  0.097840943
1419.027140625  0.097931774
1419.029875000  0.098312415
1419.032609375  0.098448395
1419.035343750  0.098839836
1419.038078125  0.099533647
1419.040812500  0.099360139
1419.043546875  0.099783634
1419.046281250  0.100185396
1419.049015625  0.100368058
1419.051750000  0.101015486
1419.054484375  0.101638646
1419.057218750  0.101821098
1419.059953125  0.102495049
1419.062687500  0.103009009
1419.065421875  0.103607715
1419.068156250  0.104351427
1419.070890625  0.104631103
1419.073625000  0.105251074
1419.076359375  0.106262249
1419.079093750  0.106615179
1419.081828125  0.107251390
1419.084562500  0.107618497
1419.087296875  0.108510344
1419.090031250  0.109282171
1419.092765625  0.110322347
1419.095500000  0.110933153
1419.098234375  0.111508736
1419.100968750  0.112690735
1419.103703125  0.113231097
1419.106437500  0.114411991
1419.109171875  0.115031571
1419.111906250  0.115889056
1419.114640625  0.116843648
1419.117375000  0.117757807
1419.120109375  0.118391855
1419.122843750  0.119288014
1419.125578125  0.120485473
1419.128312500  0.121173956
1419.131046875  0.121807120
1419.133781250  0.123091427
1419.136515625  0.124071271
1419.139250000  0.125181806
1419.141984375  0.125985480
1419.144718750  0.126884842
1419.147453125  0.127915526
1419.150187500  0.129047852
1419.152921875  0.130330683
1419.155656250  0.131343886
1419.158390625  0.132154375
1419.161125000  0.133050638
1419.163859375  0.133928685
1419.166593750  0.134771965
1419.169328125  0.136522023
1419.172062500  0.137507653
1419.174796875  0.138155756
1419.177531250  0.139398035
1419.180265625  0.140757410
1419.183000000  0.141617538
1419.185734375  0.142227519
1419.188468750  0.143633554
1419.191203125  0.144732855
1419.193937500  0.145497618
1419.196671875  0.146546560
1419.199406250  0.147574619
1419.202140625  0.148575569
1419.204875000  0.149717402
1419.207609375  0.150581465
1419.210343750  0.152548101
1419.213078125  0.153007893
1419.215812500  0.154431817
1419.218546875  0.155221941
1419.221281250  0.156292192
1419.224015625  0.157615997
1419.226750000  0.158717757
1419.229484375  0.159981670
1419.232218750  0.160912232
1419.234953125  0.161188101
1419.237687500  0.162663072
1419.240421875  0.163735596
1419.243156250  0.164998938
1419.245890625  0.166064154
1419.248625000  0.166782459
1419.251359375  0.168117441
1419.254093750  0.169211792
1419.256828125  0.170214064
1419.259562500  0.171193498
1419.262296875  0.171814114
1419.265031250  0.173322936
1419.267765625  0.173927005
1419.270500000  0.175630620
1419.273234375  0.176863286
1419.275968750  0.178131472
1419.278703125  0.178777075
1419.281437500  0.179197173
1419.284171875  0.180098955
1419.286906250  0.181258835
1419.289640625  0.182337820
1419.292375000  0.183113944
1419.295109375  0.185049670
1419.297843750  0.184984995
1419.300578125  0.186020552
1419.303312500  0.187262026
1419.306046875  0.188565966
1419.308781250  0.189519557
1419.311515625  0.190586272
1419.314250000  0.190810704
1419.316984375  0.192609083
1419.319718750  0.193062296
1419.322453125  0.193839524
1419.325187500  0.194629515
1419.327921875  0.195616973
1419.330656250  0.196773667
1419.333390625  0.197746664
1419.336125000  0.197963956
1419.338859375  0.199376097
1419.341593750  0.199960384
1419.344328125  0.200693021
1419.347062500  0.201721515
1419.349796875  0.202522713
1419.352531250  0.203381024
1419.355265625  0.204368904
1419.358000000  0.205566661
1419.360734375  0.205951858
1419.363468750  0.206627167
1419.366203125  0.208049953
1419.368937500  0.208056102
1419.371671875  0.208430863
1419.374406250  0.209769270
1419.377140625  0.210812885
1419.379875000  0.211188648
1419.382609375  0.212633588
1419.385343750  0.212530050
1419.388078125  0.213432059
1419.390812500  0.213887051
1419.393546875  0.215644480
1419.396281250  0.216165619
1419.399015625  0.216793541
1419.401750000  0.216623945
1419.404484375  0.218062021
1419.407218750  0.218674395
1419.409953125  0.219442734
1419.412687500  0.219621656
1419.415421875  0.221012142
1419.418156250  0.221086000
1419.420890625  0.221807153
1419.423625000  0.222805686
1419.426359375  0.223149736
1419.429093750  0.223183424
1419.431828125  0.223258232
1419.434562500  0.224346329
1419.437296875  0.225130407
1419.440031250  0.226030921
1419.442765625  0.226678485
1419.445500000  0.226690118
1419.448234375  0.227594249
1419.450968750  0.228105305
1419.453703125  0.228199187
1419.456437500  0.229169597
1419.459171875  0.229729461
1419.461906250  0.230523571
1419.464640625  0.230791703
1419.467375000  0.231249141
1419.470109375  0.231981910
1419.472843750  0.231818843
1419.475578125  0.232249766
1419.478312500  0.232708772
1419.481046875  0.233126412
1419.483781250  0.233519948
1419.486515625  0.234103534
1419.489250000  0.234476887
1419.491984375  0.234600369
1419.494718750  0.235593216
1419.497453125  0.235375863
1419.500187500  0.236362934
1419.502921875  0.236311153
1419.505656250  0.236545635
1419.508390625  0.236321097
1419.511125000  0.237179905
1419.513859375  0.237577766
1419.516593750  0.237340840
1419.519328125  0.238693484
1419.522062500  0.239348763
1419.524796875  0.239160710
1419.527531250  0.239661092
1419.530265625  0.239514844
1419.533000000  0.239058063
1419.535734375  0.240684287
1419.538468750  0.240369901
1419.541203125  0.240853377
1419.543937500  0.241174833
1419.546671875  0.241007393
1419.549406250  0.240859753
1419.552140625  0.241914553
1419.554875000  0.242062810
1419.557609375  0.241675572
1419.560343750  0.242747939
1419.563078125  0.242393385
1419.565812500  0.242417499
1419.568546875  0.242828880
1419.571281250  0.242219867
1419.574015625  0.243594810
1419.576750000  0.243426176
1419.579484375  0.243579312
1419.582218750  0.242953550
1419.584953125  0.243595467
1419.587687500  0.244011707
1419.590421875  0.243730619
1419.593156250  0.244042285
1419.595890625  0.244498368
1419.598625000  0.244524251
1419.601359375  0.243797540
1419.604093750  0.244939801
1419.606828125  0.244498043
1419.609562500  0.244773724
1419.612296875  0.244870049
1419.615031250  0.244843007
1419.617765625  0.244968970
1419.620500000  0.244732652
1419.623234375  0.245221457
1419.625968750  0.245135608
1419.628703125  0.245438596
1419.631437500  0.245374640
1419.634171875  0.245128721
1419.636906250  0.245371780
1419.639640625  0.245587941
1419.642375000  0.245431319
1419.645109375  0.244881114
1419.647843750  0.245627164
1419.650578125  0.245807935
1419.653312500  0.245700867
1419.656046875  0.245759300
1419.658781250  0.246362790
1419.661515625  0.245278341
1419.664250000  0.245519566
1419.666984375  0.245101938
1419.669718750  0.245465090
1419.672453125  0.245572921
1419.675187500  0.245057988
1419.677921875  0.244966562
1419.680656250  0.245114656
1419.683390625  0.244924046
1419.686125000  0.244869365
1419.688859375  0.245741199
1419.691593750  0.245716823
1419.694328125  0.245553296
1419.697062500  0.245289408
1419.699796875  0.245541493
1419.702531250  0.244821680
1419.705265625  0.245076739
1419.708000000  0.244936019
1419.710734375  0.245177611
1419.713468750  0.244689001
1419.716203125  0.244886202
1419.718937500  0.244817929
1419.721671875  0.244978144
1419.724406250  0.244699175
1419.727140625  0.244988351
1419.729875000  0.244780505
1419.732609375  0.244577960
1419.735343750  0.244834612
1419.738078125  0.244759119
1419.740812500  0.244333464
1419.743546875  0.244749346
1419.746281250  0.244346467
1419.749015625  0.245114510
1419.751750000  0.243877665
1419.754484375  0.244610964
1419.757218750  0.243894982
1419.759953125  0.243774815
1419.762687500  0.243365286
1419.765421875  0.244279455
1419.768156250  0.244217083
1419.770890625  0.244241192
1419.773625000  0.243653645
1419.776359375  0.243442952
1419.779093750  0.243857274
1419.781828125  0.243456487
1419.784562500  0.242923998
1419.787296875  0.242583380
1419.790031250  0.243671769
1419.792765625  0.243731398
1419.795500000  0.243325351
1419.798234375  0.243703275
1419.800968750  0.243569278
1419.803703125  0.243307347
1419.806437500  0.242602098
1419.809171875  0.242996680
1419.811906250  0.242988652
1419.814640625  0.242907797
1419.817375000  0.243478533
1419.820109375  0.243386663
1419.822843750  0.242355556
1419.825578125  0.242527758
1419.828312500  0.242650072
1419.831046875  0.241883659
1419.833781250  0.242496567
1419.836515625  0.242293105
1419.839250000  0.242443484
1419.841984375  0.241824498
1419.844718750  0.242975565
1419.847453125  0.242993455
1419.850187500  0.241591970
1419.852921875  0.242814565
1419.855656250  0.241579198
1419.858390625  0.241164535
1419.861125000  0.242334289
1419.863859375  0.242548090
1419.866593750  0.241379261
1419.869328125  0.242180986
1419.872062500  0.242363161
1419.874796875  0.242073971
1419.877531250  0.242305768
1419.880265625  0.242411200
1419.883000000  0.243029908
1419.885734375  0.254154899
1419.888468750  0.253106862
1419.891203125  0.243072288
1419.893937500  0.242165998
1419.896671875  0.241304892
1419.899406250  0.242161547
1419.902140625  0.241771260
1419.904875000  0.241339593
1419.907609375  0.241508932
1419.910343750  0.243218478
1419.913078125  0.242299838
1419.915812500  0.241882390
1419.918546875  0.242242675
1419.921281250  0.241785336
1419.924015625  0.242934993
1419.926750000  0.242737627
1419.929484375  0.242034141
1419.932218750  0.242187420
1419.934953125  0.242084224
1419.937687500  0.241396095
1419.940421875  0.241896318
1419.943156250  0.241891792
1419.945890625  0.242095354
1419.948625000  0.243346699
1419.951359375  0.242508114
1419.954093750  0.241756018
1419.956828125  0.242165362
1419.959562500  0.242957379
1419.962296875  0.243196730
1419.965031250  0.243241703
1419.967765625  0.242430716
1419.970500000  0.242904095
1419.973234375  0.242597070
1419.975968750  0.242825156
1419.978703125  0.242083770
1419.981437500  0.242877892
1419.984171875  0.242762816
1419.986906250  0.243009920
1419.989640625  0.242925900
1419.992375000  0.243424210
1419.995109375  0.242410808
1419.997843750  0.243202320
1420.000578125  0.243968314
1420.003312500  0.243823641
1420.006046875  0.243579472
1420.008781250  0.243459985
1420.011515625  0.244263373
1420.014250000  0.244324264
1420.016984375  0.244349482
1420.019718750  0.244313378
1420.022453125  0.244677409
1420.025187500  0.245013132
1420.027921875  0.244884323
1420.030656250  0.244335508
